2023-10-10,10:11:41,255,"0,00","19,00","-90,23"
2023-10-10,10:11:41,255,"0,00","17,00","-89,76"
2023-10-10,10:11:42,255,"0,00","21,00","-91,04"
2023-10-10,10:11:42,255,"0,00","17,00","-89,15"
2023-10-10,10:11:42,255,"0,00","17,00","-90,95"
2023-10-10,10:11:42,255,"0,00","20,00","-89,66"
2023-10-10,10:11:42,255,"2,00","20,00","-89,69"
2023-10-10,10:11:42,255,"1,00","19,00","-90,38"
2023-10-10,10:11:42,255,"1,00","17,00","-88,73"
2023-10-10,10:11:42,255,"0,00","20,00","-90,41"
2023-10-10,10:11:42,255,"0,00","17,00","-88,97"
2023-10-10,10:11:43,255,"0,00","19,00","-89,59"
2023-10-10,10:11:43,255,"0,00","16,00","-89,91"
2023-10-10,10:11:43,255,"0,00","17,00","-88,41"
2023-10-10,10:11:43,255,"0,00","16,00","-90,33"
2023-10-10,10:11:43,255,"0,00","19,00","-88,63"
2023-10-10,10:11:43,255,"0,00","20,00","-89,72"
2023-10-10,10:11:43,255,"0,00","17,00","-89,56"
2023-10-10,10:11:43,255,"0,00","19,00","-88,42"
2023-10-10,10:11:44,255,"0,00","20,00","-90,20"
2023-10-10,10:11:44,255,"0,00","17,00","-88,41"
2023-10-10,10:11:44,255,"0,00","20,00","-89,80"
2023-10-10,10:11:44,255,"0,00","15,00","-89,20"
2023-10-10,10:11:44,255,"0,00","19,00","-88,53"
2023-10-10,10:11:44,255,"1,00","17,00","-90,03"
2023-10-10,10:11:44,255,"3,00","20,00","-88,30"
2023-10-10,10:11:44,255,"12,00","27,00","-89,98"
2023-10-10,10:11:44,255,"17,00","26,00","-89,00"
2023-10-10,10:11:45,255,"22,00","34,00","-88,67"
2023-10-10,10:11:45,255,"26,00","35,00","-89,86"
2023-10-10,10:11:45,255,"30,00","36,00","-88,12"
2023-10-10,10:11:45,255,"34,00","41,00","-89,88"
2023-10-10,10:11:45,255,"35,00","40,00","-88,75"
2023-10-10,10:11:45,255,"38,00","41,00","-88,90"
2023-10-10,10:11:45,255,"40,00","45,00","-89,70"
2023-10-10,10:11:45,255,"43,00","44,00","-88,07"
2023-10-10,10:11:45,255,"44,00","48,00","-89,93"
2023-10-10,10:11:46,255,"45,00","45,00","-88,59"
2023-10-10,10:11:46,255,"46,00","49,00","-88,99"
2023-10-10,10:11:46,255,"46,00","46,00","-89,45"
2023-10-10,10:11:46,255,"48,00","49,00","-87,85"
2023-10-10,10:11:46,255,"49,00","48,00","-89,69"
2023-10-10,10:11:46,255,"49,00","50,00","-88,13"
2023-10-10,10:11:46,finish
